District Council / Constituency Area,Population,Working Population,
Central and Western - Chung Wan,14052,8404,
Central and Western - Mid Levels East,17645,10264,
Central and Western - Castle Road,19260,10692,
Central and Western - Peak,20431,11788,
Central and Western - University,19497,10567,
Central and Western - Kennedy Town and Mount Davis,16577,9553,
Central and Western - Kwun Lung,14202,7210,
Central and Western - Sai Wan,14943,7913,
Central and Western - Belcher,21650,11417,
Central and Western - Shek Tong Tsui,17170,9076,
Central and Western - Sai Ying Pun,15212,7355,
Central and Western - Sheung Wan,17235,9030,
Central and Western - Tung Wah,13384,7685,
Central and Western - Centre Street,15268,8011,
Central and Western - Water Street,14993,7916,
Wan Chai - Hennessy,12988,7105,
Wan Chai - Oi Kwan,14437,7371,
Wan Chai - Canal Road,13385,6930,
Wan Chai - Causeway Bay,13613,7020,
Wan Chai - Tai Hang,13487,7343,
Wan Chai - Jardine'S Lookout,15533,9074,
Wan Chai - Broadwood,14517,7706,
Wan Chai - Happy Valley,13228,7639,
Wan Chai - Stubbs Road,14461,7894,
Wan Chai - Southorn,13774,7705,
Wan Chai - Tai Fat Hau,13185,7648,
Eastern - Tai Koo Shing West,18071,9077,
Eastern - Tai Koo Shing East,19372,9557,
Eastern - Lei King Wan,20263,10279,
Eastern - Aldrich Bay,19266,8654,
Eastern - Shaukeiwan,13679,7068,
Eastern - A Kung Ngam,20393,10184,
Eastern - Heng Fa Chuen,19186,10630,
Eastern - Tsui Wan,13089,7031,
Eastern - Yan Lam,17010,9588,
Eastern - Siu Sai Wan,13962,7044,
Eastern - King Yee,16026,8756,
Eastern - Wan Tsui,15007,7137,
Eastern - Fei Tsui,15558,7332,
Eastern - Mount Parker,13687,6729,
Eastern - Braemar Hill,17167,9525,
Eastern - Tin Hau,14270,6556,
Eastern - Fortress Hill,16062,8344,
Eastern - Victoria Park,14250,7304,
Eastern - City Garden,15613,7909,
Eastern - Provident,20263,10331,
Eastern - Fort Street,14771,7667,
Eastern - Kam Ping,17004,8440,
Eastern - Tanner,14730,7574,
Eastern - Healthy Village,14894,7248,
Eastern - Quarry Bay,14030,7072,
Eastern - Nam Fung,14281,7531,
Eastern - Kornhill,14936,8122,
Eastern - Kornhill Garden,14177,7478,
Eastern - Hing Tung,19195,9745,
Eastern - Sai Wan Ho,19187,9734,
Eastern - Lower Yiu Tung,16429,7732,
Eastern - Upper Yiu Tung,13100,6652,
Eastern - Hing Man,14861,6885,
Eastern - Lok Hong,12364,6588,
Eastern - Tsui Tak,13515,7645,
Eastern - Yue Wan,14780,6808,
Eastern - Kai Hiu,13646,7031,
Southern - Aberdeen,20033,11007,
Southern - Ap Lei Chau Estate,13076,6210,
Southern - Ap Lei Chau North,13184,7303,
Southern - Lei Tung I,14847,8891,
Southern - Lei Tung Ii,13465,7221,
Southern - South Horizons East,15415,8450,
Southern - South Horizons West,16102,9111,
Southern - Wah Kwai,14917,7385,
Southern - Wah Fu I,13132,6270,
Southern - Wah Fu Ii,14821,7151,
Southern - Pokfulam,20500,10819,
Southern - Chi Fu,16541,8822,
Southern - Tin Wan,17426,8546,
Southern - Shek Yue,19344,9299,
Southern - Wong Chuk Hang,16012,8090,
Southern - Bays Area,16566,9441,
Southern - Stanley and Shek O,23274,11686,
Yau Tsim Mong - Tsim Sha Tsui West,17072,9648,
Yau Tsim Mong - Jordan East,20566,10267,
Yau Tsim Mong - Jordan West,20682,9985,
Yau Tsim Mong - Yau Ma Tei,22218,11021,
Yau Tsim Mong - Charming,17761,9464,
Yau Tsim Mong - Mong Kok West,19984,9342,
Yau Tsim Mong - Fu Pak,20099,9817,
Yau Tsim Mong - Olympic,13924,8413,
Yau Tsim Mong - Cherry,12730,6326,
Yau Tsim Mong - Tai Kok Tsui South,14544,6809,
Yau Tsim Mong - Tai Kok Tsui North,18806,9839,
Yau Tsim Mong - Tai Nan,21269,10325,
Yau Tsim Mong - Mong Kok North,16719,8024,
Yau Tsim Mong - Mong Kok East,15076,7794,
Yau Tsim Mong - Mong Kok South,15299,6604,
Yau Tsim Mong - King'S Park,18743,9651,
Yau Tsim Mong - Tsim Sha Tsui East,22386,11784,
Sham Shui Po - Po Lai,14397,6789,
Sham Shui Po - Cheung Sha Wan,16628,8284,
Sham Shui Po - Nam Cheong North,23745,10756,
Sham Shui Po - Shek Kip Mei and Nam Cheong East,20294,8878,
Sham Shui Po - Nam Cheong South,22764,10510,
Sham Shui Po - Nam Cheong Central,23670,10564,
Sham Shui Po - Nam Cheong West,13462,6201,
Sham Shui Po - Fu Cheong,17017,6347,
Sham Shui Po - Lai Kok,14821,6140,
Sham Shui Po - Fortune,19900,9673,
Sham Shui Po - Lai Chi Kok South,21752,9890,
Sham Shui Po - Mei Foo South,17360,9260,
Sham Shui Po - Mei Foo Central,13723,7127,
Sham Shui Po - Mei Foo North,16302,7688,
Sham Shui Po - Lai Chi Kok North,19721,12211,
Sham Shui Po - Un Chau and So Uk,21041,8736,
Sham Shui Po - Lei Cheng Uk,13836,6676,
Sham Shui Po - Ha Pak Tin,18020,7631,
